Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12798347,2020-11-16 21:51:20,2020-10-08 16:30:58,13199797,3986338694,13199797,302,1609,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/012498/SRR12798347,SRX9267335,T144770,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496815,SAMN16380845,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B01,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,60EA1A36335EE3F6F470E3C2818D5A52,FF9FEE52ACEF6B0676817FAF543BCC5F
SRR12798359,2020-11-16 21:51:20,2020-10-08 16:30:42,15117023,4565340946,15117023,302,1859,,https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/012498/SRR12798359,SRX9267323,T144805,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496803,SAMN16380853,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B02,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,50587E9B159D6BBBB7734FF2A2CAACD2,CEAA56A307604B5CAEDD70976040B436
SRR12798318,2020-11-16 21:51:20,2020-10-08 16:27:53,11642602,3516065804,11642602,302,1403,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/012498/SRR12798318,SRX9267364,T145119,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496844,SAMN16380869,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B04,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,F52C7145BBCD20D42F631E8FA5694B2A,1758FC2E55F12E3327B58CAD2C14060A
SRR12798309,2020-11-16 21:51:21,2020-10-08 16:33:41,15273303,4612537506,15273303,302,1934,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/012498/SRR12798309,SRX9267373,T144870,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496853,SAMN16380877,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B05,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,F53556B4463C0F452F617B6F891C8B81,8B583927A34930E03486A520FACFFEE5
SRR12798300,2020-11-16 21:51:21,2020-10-08 16:41:51,13691931,4134963162,13691931,302,1671,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/012498/SRR12798300,SRX9267382,T144911,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496862,SAMN16380885,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B06,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,C89B9F96EE14B309DEE8A9546995385E,B71AAE53F7D134E6473ABE3B77BDEF36
SRR12798371,2020-11-16 21:51:20,2020-10-08 16:32:21,14332764,4328494728,14332764,302,1788,,https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/012498/SRR12798371,SRX9267311,T145144,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496791,SAMN16380901,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B08,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,840D6E893A5CDBD9518B23C9A326FD32,A28E779A2B30794CD5102DFD32A787FA
SRR12798362,2020-11-16 21:51:20,2020-10-08 16:37:31,20013083,6043951066,20013083,302,2528,,https://sra-download.ncbi.nlm.nih.gov/traces/sra52/SRR/012498/SRR12798362,SRX9267320,T144960,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496800,SAMN16380909,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B09,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,2F442E994BFEC0663F142E04B12C6B24,7CBB11E1A14BF895B50A39386C9823E5
SRR12798289,2020-11-16 21:51:21,2020-10-08 16:34:48,15408872,4653479344,15408872,302,1968,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/012498/SRR12798289,SRX9267393,T144981,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496873,SAMN16380917,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B10,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,D607F29279778910B7F351BB94922171,6C0735C9B930E061ECAF888A787EB967
SRR12798280,2020-11-16 21:51:21,2020-10-08 16:34:33,16771853,5065099606,16771853,302,2094,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/012498/SRR12798280,SRX9267402,T145152,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496882,SAMN16380925,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B11,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,6CE2B16CE14205A1752D38A9583149C3,F4D237A745E26A7D22ABFD8BE2ECF943
SRR12798360,2020-11-16 21:51:20,2020-10-08 16:33:58,16981583,5128438066,16981583,302,2165,,https://sra-download.ncbi.nlm.nih.gov/traces/sra1/SRR/012498/SRR12798360,SRX9267322,T145193,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496802,SAMN16380933,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_B12,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,100A6B452A097135F552ECC06B2631F5,67E807AC7E321B5E4E4ABD4EE7456CC3
